POB,PM,PC,GEN,SEL,Avg_Fit
500,0.1,0.7,100,1,187.0
500,0.1,0.7,100,2,360.0
500,0.1,0.7,200,1,187.0
500,0.1,0.7,200,2,221.6
500,0.1,0.7,500,1,290.8
500,0.1,0.7,500,2,290.8
500,0.1,0.7,1000,1,325.4
500,0.1,0.7,1000,2,290.8
500,0.1,0.9,100,1,187.0
500,0.1,0.9,100,2,360.0
500,0.1,0.9,200,1,187.0
500,0.1,0.9,200,2,221.6
500,0.1,0.9,500,1,187.0
500,0.1,0.9,500,2,187.0
500,0.1,0.9,1000,1,325.4
500,0.1,0.9,1000,2,360.0
500,0.2,0.5,100,1,187.0
500,0.2,0.5,100,2,187.0
500,0.2,0.5,200,1,195.8
500,0.2,0.5,200,2,191.4
500,0.2,0.5,500,1,256.2
500,0.2,0.5,500,2,200.2
500,0.2,0.5,1000,1,341.8
500,0.2,0.5,1000,2,224.2
500,0.2,0.7,100,1,187.0
500,0.2,0.7,100,2,187.0
500,0.2,0.7,200,1,325.4
500,0.2,0.7,200,2,187.0
500,0.2,0.7,500,1,290.8
500,0.2,0.7,500,2,256.2
500,0.2,0.7,1000,1,307.2
500,0.2,0.7,1000,2,219.8
500,0.2,0.9,100,1,187.0
500,0.2,0.9,100,2,187.0
500,0.2,0.9,200,1,325.4
500,0.2,0.9,200,2,209.0
500,0.2,0.9,500,1,265.0
500,0.2,0.9,500,2,200.2
500,0.2,0.9,1000,1,260.6
500,0.2,0.9,1000,2,289.0
