Imagen,Centro_X,Centro_Y,Radio,Fitness
../imgs/C04.bmp,174.83,85.17,23.34,91.0
../imgs/C04.bmp,174.49,85.37,23.42,91.0
../imgs/C04.bmp,174.45,85.05,23.08,91.0
../imgs/C04.bmp,174.0,85.0,23.02,91.0
../imgs/C04.bmp,174.26,85.32,23.14,91.0
../imgs/C04.bmp,174.21,85.36,23.21,91.0
../imgs/C04.bmp,174.25,85.15,23.08,91.0
../imgs/C04.bmp,174.17,85.11,23.29,91.0
../imgs/C04.bmp,199.92,78.81,48.85,65.0
../imgs/C04.bmp,174.56,85.26,23.27,91.0
../imgs/C04.bmp,174.31,85.17,23.34,91.0
../imgs/C04.bmp,174.1,85.62,23.14,91.0
../imgs/C04.bmp,174.7,85.47,23.35,91.0
../imgs/C04.bmp,174.33,85.27,23.43,91.0
../imgs/C04.bmp,174.3,85.01,23.05,91.0
../imgs/C04.bmp,174.22,85.39,23.2,91.0
../imgs/C04.bmp,174.25,85.34,23.06,91.0
../imgs/C04.bmp,174.15,85.12,23.2,91.0
../imgs/C04.bmp,174.0,85.44,23.26,91.0
../imgs/C04.bmp,174.24,85.18,23.41,91.0
../imgs/C04.bmp,174.34,85.32,23.46,91.0
../imgs/C04.bmp,174.52,85.6,23.57,91.0
../imgs/C04.bmp,174.51,85.03,23.04,91.0
../imgs/C04.bmp,96.46,130.9,55.9,67.0
../imgs/C04.bmp,174.55,85.38,23.5,91.0
../imgs/C04.bmp,174.63,85.68,23.72,91.0
../imgs/C04.bmp,174.34,85.48,23.6,91.0
../imgs/C04.bmp,174.02,85.69,23.22,91.0
../imgs/C04.bmp,174.25,85.04,23.21,91.0
../imgs/C04.bmp,174.24,85.24,23.1,91.0
../imgs/C04.bmp,174.19,85.05,23.27,91.0
../imgs/C04.bmp,174.0,85.0,23.02,91.0
../imgs/C04.bmp,174.01,85.08,23.01,91.0
../imgs/C04.bmp,174.0,85.19,23.22,91.0
../imgs/C04.bmp,174.02,85.51,23.03,91.0
../imgs/C04.bmp,174.4,85.6,23.04,91.0
../imgs/C04.bmp,174.21,85.29,23.03,91.0
../imgs/C04.bmp,174.41,85.08,23.17,91.0
../imgs/C04.bmp,174.18,85.07,23.27,91.0
../imgs/C04.bmp,174.1,85.03,23.39,91.0
../imgs/C04.bmp,174.27,85.05,23.09,91.0
../imgs/C04.bmp,174.12,85.12,23.2,91.0
../imgs/C04.bmp,174.46,85.19,23.05,91.0
../imgs/C05.bmp,126.92,130.65,31.97,116.0
../imgs/C05.bmp,126.0,130.0,31.02,116.0
../imgs/C05.bmp,126.46,129.03,31.13,115.0
../imgs/C05.bmp,126.6,130.15,31.61,116.0
../imgs/C05.bmp,126.5,130.5,31.95,116.0
../imgs/C05.bmp,126.17,130.56,31.45,116.0
../imgs/C05.bmp,126.01,130.05,31.03,116.0
../imgs/C05.bmp,126.12,130.15,31.73,116.0
../imgs/C05.bmp,126.48,129.05,31.05,115.0
../imgs/C05.bmp,126.29,129.07,31.31,115.0
../imgs/C05.bmp,126.83,130.41,31.83,116.0
../imgs/C05.bmp,126.27,130.02,31.86,116.0
../imgs/C05.bmp,126.84,130.57,31.02,116.0
../imgs/C05.bmp,126.33,130.07,31.71,116.0
../imgs/C05.bmp,126.46,130.85,31.53,116.0
../imgs/C05.bmp,126.31,130.28,31.32,116.0
../imgs/C05.bmp,126.64,130.16,31.19,116.0
../imgs/C05.bmp,126.57,130.0,31.55,116.0
../imgs/C05.bmp,126.57,130.08,31.57,116.0
../imgs/C05.bmp,126.0,129.1,31.16,115.0
../imgs/C05.bmp,126.0,130.0,31.78,116.0
../imgs/C05.bmp,126.15,130.11,31.22,116.0
../imgs/C05.bmp,126.46,130.54,31.56,116.0
../imgs/C05.bmp,126.29,130.01,31.54,116.0
../imgs/C05.bmp,126.41,130.03,31.42,116.0
../imgs/C05.bmp,126.07,129.25,31.18,115.0
../imgs/C05.bmp,126.81,130.61,31.68,116.0
../imgs/C05.bmp,126.9,130.1,31.9,116.0
../imgs/C05.bmp,126.49,130.52,31.97,116.0
../imgs/C05.bmp,126.5,130.09,31.98,116.0
../imgs/C05.bmp,126.48,130.07,31.27,116.0
../imgs/C05.bmp,126.11,129.1,31.15,115.0
../imgs/C05.bmp,126.45,130.0,31.48,116.0
../imgs/C05.bmp,126.74,130.33,31.82,116.0
../imgs/C05.bmp,126.67,130.33,31.7,116.0
../imgs/C05.bmp,126.56,130.42,31.85,116.0
../imgs/C05.bmp,126.04,130.19,31.55,116.0
../imgs/C05.bmp,126.94,130.19,31.96,116.0
../imgs/C05.bmp,126.28,130.21,31.74,116.0
../imgs/C05.bmp,126.0,130.02,31.25,116.0
../imgs/C05.bmp,126.24,129.13,31.19,115.0
../imgs/C05.bmp,126.52,130.51,31.56,116.0
../imgs/C05.bmp,126.76,130.69,31.87,116.0
../imgs/C05.bmp,126.31,130.31,31.7,116.0
../imgs/C05.bmp,126.43,130.63,31.63,116.0
../imgs/C05.bmp,126.0,130.2,31.39,116.0
../imgs/C05.bmp,126.09,130.31,31.52,116.0
../imgs/C05.bmp,126.08,130.04,31.71,116.0
../imgs/C05.bmp,126.0,130.0,31.02,116.0
../imgs/C05.bmp,126.01,129.16,31.35,115.0
../imgs/C05.bmp,126.0,130.5,31.2,116.0
../imgs/C05.bmp,126.62,130.12,31.65,116.0
../imgs/C05.bmp,126.71,130.32,31.57,116.0
../imgs/C05.bmp,126.12,130.54,31.92,116.0
../imgs/C05.bmp,126.21,130.27,31.95,116.0
../imgs/C05.bmp,126.52,130.05,31.32,116.0
../imgs/C05.bmp,126.61,130.18,31.65,116.0
../imgs/C05.bmp,126.32,129.0,31.12,115.0
../imgs/C05.bmp,126.0,130.0,31.38,116.0
../imgs/C05.bmp,126.63,130.0,31.65,116.0
../imgs/C05.bmp,126.04,129.1,31.11,115.0
../imgs/C05.bmp,126.21,129.15,31.07,115.0
../imgs/C05.bmp,126.5,130.94,31.52,116.0
../imgs/C05.bmp,126.43,130.0,31.68,116.0
../imgs/C05.bmp,126.21,130.09,31.23,116.0
../imgs/C05.bmp,126.9,130.18,31.92,116.0
../imgs/C05.bmp,126.56,130.28,31.93,116.0
../imgs/C05.bmp,126.01,129.04,31.01,115.0
../imgs/C05.bmp,126.64,130.0,31.43,116.0
../imgs/C05.bmp,126.86,130.85,31.87,116.0
../imgs/C05.bmp,126.16,130.16,31.99,116.0
../imgs/C05.bmp,126.4,130.01,31.7,116.0
../imgs/C05.bmp,126.34,130.26,31.78,116.0
../imgs/C05.bmp,126.1,130.03,31.69,116.0
../imgs/C05.bmp,126.5,129.14,31.06,115.0
../imgs/C05.bmp,126.96,130.32,31.89,116.0
../imgs/C05.bmp,126.25,129.1,31.26,115.0
../imgs/C05.bmp,126.19,130.71,31.06,116.0
../imgs/C05.bmp,126.5,130.7,31.67,116.0
../imgs/C05.bmp,126.34,130.22,31.78,116.0
../imgs/C05.bmp,126.38,129.39,31.06,115.0
../imgs/C05.bmp,126.91,130.96,31.92,116.0
../imgs/C05.bmp,126.36,130.0,31.42,116.0
../imgs/C05.bmp,126.22,130.13,31.64,116.0
../imgs/C05.bmp,126.22,129.06,31.14,115.0
../imgs/C05.bmp,126.35,130.11,31.62,116.0
../imgs/C05.bmp,126.46,130.2,31.88,116.0
../imgs/C05.bmp,126.37,130.27,31.1,116.0
